Query,Outputs,Correct,Comments
Nothing  4a,"Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 5G 128 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 256 GB Storage Pink (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Pink (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (12 GB RAM), Nothing Phone (4a) 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) 128 GB Storage White (8 GB RAM)",,
Lg Ac,"LG 1 Ton 3 Star Inverter Split AC White (KS-Q12ENXA), LG 1 Ton 3 Star BEE Rating Inverter Split AC White (KS-Q12ENXA), LG 1 Ton 5 Star Inverter Split AC White (KS-Q12ENZA), LG 1.5 Ton 3 Star Inverter Split AC White (KS-Q18ENXA), LG 1.5 Ton 5 Star Inverter Split AC White (KS-Q18ENZA), LG 1 Ton 3 Star Inverter Split AC White (KS-Q12HNXD), LG 1 Ton 3 Star Inverter Split AC White and Grey (KS-Q12MWXD), LG 1.5 Ton 3 Star Inverter Split AC White and Gold (KS-Q18AWXD), LG 1.5 Ton 3 Star Inverter Split AC White (KS-Q18HNXD), LG 1.5 Ton 3 Star Inverter Split AC White (KS-Q18YNXA)",,
Water Purifier Under 10000,"Livpure Stealth Under The Counter Water Purifier, RO+UV 6 Stage Purification Technology, 7L (White), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), LG 8 L Electric RO + UV + Mineral Booster Water Purifier Black (WW155NTB), Whirlpool Minerala 90 Elite RO 85 L Water Purifier Grey (Minerala 90 Elite RO), Eureka Forbes 8 L Water Purifier White (AG UTC RO), Hindware 7 Liters Storage Water Purifier Black (WR-17071NNN), Kent 9 L Storage Water Purifier White (Grand Star 11070), AO Smith 5 L Water Purifier White (X3 RO), Luminous 8 Litres Storage Water Purifier (ENVY PLUS), Lloyd 7 L Water Purifier Navy Blue (GHWRPMD015)",,
nothing 4a,"Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 5G 128 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 256 GB Storage Pink (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Pink (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (12 GB RAM), Nothing Phone (4a) 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) 128 GB Storage White (8 GB RAM)",,
Nothing 3a Pro,"Nothing Phone (3a) Pro 5G 128 GB Storage Black (8 GB RAM), Nothing Phone (3a) Pro 5G 128 GB Storage Grey (8 GB RAM), Nothing Phone (3a) Pro 5G 256 GB Storage Black (8 GB RAM), Nothing Phone (3a) Pro 5G 256 GB Storage Grey (8 GB RAM), Nothing Phone (3a) Pro 5G 256 GB Storage Black (12 GB RAM), Nothing Phone (3a) Pro 5G 256 GB Storage Black (12 GB RAM), Nothing Phone (3a) Pro 5G 256 GB Storage Grey (12 GB RAM), Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 5G 128 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (8 GB RAM)",,
Poco M7 Smartphones,"POCO M7 Plus 5G Storage 128 GB Carbon Black (6 GB RAM), POCO M7 Plus 5G Storage 128 GB Aqua Blue (6 GB RAM), POCO M7 Plus 5G Storage 128 GB Chrome Silver (6 GB RAM), POCO M7 Plus 5G Storage 128 GB Carbon Black (8 GB RAM), POCO M7 Plus 5G Storage 128 GB Aqua Blue (8 GB RAM), POCO M7 Plus 5G Storage 128 GB Chrome Silver (8 GB RAM), Poco M7 Pro 5G 128 GB Storage Olive Twilight (6 GB RAM), Poco M7 Pro 5G 128 GB Storage Lunar Dust (6 GB RAM), Poco M7 Pro 5G 128 GB Storage Lavender Frost (6 GB RAM), Poco M7 Pro 5G 256 GB Storage Olive Twilight (8 GB RAM)",,
Valtas 2 Tan 3 Star Window Ac,"Voltas 2 Ton 3 Star Window AC White (WAC 243V Vertis Pearl 4011472), Voltas 2 Ton 3 Star Window AC White (Copper Condenser, WAC242VectraPlus), Voltas 2 Ton 3 Star Inverter Split AC White (SAC 243V DZV-R-410A), Voltas 2 Ton 3 Star Split AC White (SAC 243V DZV-R410a-INDOOR), Voltas 1.5 Ton 3 Star Window AC White (183 CZT), Voltas 1.5 Ton 3 Star Window Ac White (WAC 183 CZP), Voltas 2 Ton 2 Star Window Ac White (WAC 242 LZH), Voltas 1.5 Ton 3 Star Inverter Window AC White (183V DZA), Voltas 1.5 Ton 3 Star Window Ac White (WAC 183 MY), Voltas 1.5 Ton 3 Star Inverter Window AC White (WAC 183V DZA)",,
voltas 2 tan 3 star window ac,"Voltas 2 Ton 3 Star Window AC White (WAC 243V Vertis Pearl 4011472), Voltas 2 Ton 3 Star Window AC White (Copper Condenser, WAC242VectraPlus), Voltas 2 Ton 3 Star Inverter Split AC White (SAC 243V DZV-R-410A), Voltas 2 Ton 3 Star Split AC White (SAC 243V DZV-R410a-INDOOR), Voltas 1.5 Ton 3 Star Window AC White (183 CZT), Voltas 1.5 Ton 3 Star Window Ac White (WAC 183 CZP), Voltas 2 Ton 2 Star Window Ac White (WAC 242 LZH), Voltas 1.5 Ton 3 Star Inverter Window AC White (183V DZA), Voltas 1.5 Ton 3 Star Window Ac White (WAC 183 MY), Voltas 1.5 Ton 3 Star Inverter Window AC White (WAC 183V DZA)",,
Jismy Fhomas Emi Bill,"Maruti Suzuki Jimny Alpha All Grip Pro AT (Granite Grey), Maruti Suzuki Jimny Alpha All Grip Pro AT (Nexa Blue), Maruti Suzuki Jimny Alpha All Grip Pro AT (Bluish Black), Maruti Suzuki Jimny Alpha All Grip Pro AT (Pearl Arctic White), Maruti Suzuki Jimny Alpha All Grip Pro AT Dual Tone (Kinetic Yellow With Bluish Black Roof), Maruti Suzuki Jimny Alpha All Grip Pro AT Dual Tone (Sizzling Red With Bluish Black Roof), Maruti Suzuki Jimny Zeta All Grip Pro (Sizzling Red), Maruti Suzuki Jimny Zeta All Grip Pro (Granite Grey), Maruti Suzuki Jimny Zeta All Grip Pro (Nexa Blue), Maruti Suzuki Jimny Zeta All Grip Pro (Bluish Black)",,
Poco M7 Smartphones,"POCO M7 Plus 5G Storage 128 GB Carbon Black (6 GB RAM), POCO M7 Plus 5G Storage 128 GB Aqua Blue (6 GB RAM), POCO M7 Plus 5G Storage 128 GB Chrome Silver (6 GB RAM), POCO M7 Plus 5G Storage 128 GB Carbon Black (8 GB RAM), POCO M7 Plus 5G Storage 128 GB Aqua Blue (8 GB RAM), POCO M7 Plus 5G Storage 128 GB Chrome Silver (8 GB RAM), Poco M7 Pro 5G 128 GB Storage Olive Twilight (6 GB RAM), Poco M7 Pro 5G 128 GB Storage Lunar Dust (6 GB RAM), Poco M7 Pro 5G 128 GB Storage Lavender Frost (6 GB RAM), Poco M7 Pro 5G 256 GB Storage Olive Twilight (8 GB RAM)",,
jimny thomas emi bill,"Maruti Suzuki Jimny Alpha All Grip Pro AT (Granite Grey), Maruti Suzuki Jimny Alpha All Grip Pro AT (Nexa Blue), Maruti Suzuki Jimny Alpha All Grip Pro AT (Bluish Black), Maruti Suzuki Jimny Alpha All Grip Pro AT (Pearl Arctic White), Maruti Suzuki Jimny Alpha All Grip Pro AT Dual Tone (Kinetic Yellow With Bluish Black Roof), Maruti Suzuki Jimny Alpha All Grip Pro AT Dual Tone (Sizzling Red With Bluish Black Roof), Maruti Suzuki Jimny Zeta All Grip Pro (Sizzling Red), Maruti Suzuki Jimny Zeta All Grip Pro (Granite Grey), Maruti Suzuki Jimny Zeta All Grip Pro (Nexa Blue), Maruti Suzuki Jimny Zeta All Grip Pro (Bluish Black)",,
I Phone,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
vivo x300 smartphones almari 12 256,"vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 5G 256 GB Storage Summit Red (12 GB RAM), vivo X300 5G 256 GB Storage Mist Blue (12 GB RAM), vivo X300 5G 256 GB Storage Elite Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo V70 FE 256 GB Storage Monsoon Blue (12 GB RAM)",,
Apple Iphone 15 Smartphones,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
Hapto Kspayo Te Ditail,"DELL Intel Core i3 9th Gen 4 GB RAM/1 TB HDD+/ Windows 10 Home/ 18.5 inch Laptop (Black,255205WIN8), Asus AMD Ryzen 7 16 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Graphite Black, FA506NCG-HN200WS), Acer AMD Ryzen7 512 GB 16 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Silver (UN35MSI00D), Lenovo LOQ 7 AMD Ryzen 7 24 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Luna Grey, 83JC00JYIN), MSI Intel Core i5/ 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Laptop (Classic Black, Modern 15 B13M-1200IN), HP Intel Core i3 512 GB 8 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Natural Silver (15-fd0489TU # B6MC8PA), Mi Notebook 14 Intel Core i5 10th Gen 8 GB DDR4 RAM/256 GB SSD/Windows 10 Home/14 inch Laptop (Silver, Mi Notebook 14 8+256 i5 27749), Microsoft Surface Pro Intel Core i5 7th Gen 4 GB RAM/ 128 GB SSD/ Windows 10 Home/ 12.3 inch Laptop (Silver,Surface LP FSU029 7Gi5 4GBN 128SSD), LG Gram 17 Intel Core i7 10th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/17 inch Laptop (Dark Silver, 17Z90N-V.AH75A2), Realme Book Slim Intel Core i5 11th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/14 inch Laptop (Real Blue, RMNB1002)",,
laptop kspayo te detail,"DELL Intel Core i3 9th Gen 4 GB RAM/1 TB HDD+/ Windows 10 Home/ 18.5 inch Laptop (Black,255205WIN8), Asus AMD Ryzen 7 16 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Graphite Black, FA506NCG-HN200WS), Acer AMD Ryzen7 512 GB 16 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Silver (UN35MSI00D), Lenovo LOQ 7 AMD Ryzen 7 24 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Luna Grey, 83JC00JYIN), MSI Intel Core i5/ 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Laptop (Classic Black, Modern 15 B13M-1200IN), HP Intel Core i3 512 GB 8 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Natural Silver (15-fd0489TU # B6MC8PA), Mi Notebook 14 Intel Core i5 10th Gen 8 GB DDR4 RAM/256 GB SSD/Windows 10 Home/14 inch Laptop (Silver, Mi Notebook 14 8+256 i5 27749), Microsoft Surface Pro Intel Core i5 7th Gen 4 GB RAM/ 128 GB SSD/ Windows 10 Home/ 12.3 inch Laptop (Silver,Surface LP FSU029 7Gi5 4GBN 128SSD), LG Gram 17 Intel Core i7 10th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/17 inch Laptop (Dark Silver, 17Z90N-V.AH75A2), Realme Book Slim Intel Core i5 11th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/14 inch Laptop (Real Blue, RMNB1002)",,
Samsung Galaxy M56,"Samsung Galaxy M56 5G 128 GB Storage Black (8 GB RAM), Samsung Galaxy M56 5G 256 GB Storage Black (8 GB RAM), Samsung Galaxy M56 5G 256 GB Storage Light Green (8 GB RAM), Samsung Galaxy M56 5G 128 GB Storage Light Green (8 GB RAM), Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), Samsung Galaxy A37 5G 256 GB Storage Grey (12 GB RAM), Samsung Galaxy A37 5G 256 GB Storage White (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Dark Blue (8 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Dark Blue (12 GB RAM), Samsung Galaxy A57 5G 256 GB Storage Light Violet (8 GB RAM)",,
HF Deluxe,"Hero Hf Deluxe Flex Fuel 2026 (Black With Lime Yellow), Hero Hf Deluxe I3S Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe I3S Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe I3S Drum Brake Self Start (Sports Red Black), Hero Hf Deluxe I3S Drum Brake Self Start (Sports Red Black), Hero Hf Deluxe I3S Drum Brake Self Start (Candy Blazing Red), Hero Hf Deluxe I3S Drum Brake Self Start (Candy Blazing Red), Hero Hf Deluxe I3S Drum Brake Self Start (Black Nexus Blue), Hero Hf Deluxe I3S Drum Brake Self Start (Black Nexus Blue), Hero Hf Deluxe Drum Brake Self Start (Black Grey Stripe)",,
Mini Laptop,"HP Pavilion Mini Intel Core i3 4th Gen2 GB RAM/ 500 GB HDD/Windows 8.1/ Laptop (Silver, 300010in), DELL Intel Core i3 9th Gen 4 GB RAM/1 TB HDD+/ Windows 10 Home/ 18.5 inch Laptop (Black,255205WIN8), Asus AMD Ryzen 7 16 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Graphite Black, FA506NCG-HN200WS), Acer AMD Ryzen7 512 GB 16 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Silver (UN35MSI00D), Lenovo LOQ 7 AMD Ryzen 7 24 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Luna Grey, 83JC00JYIN), MSI Intel Core i5/ 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Laptop (Classic Black, Modern 15 B13M-1200IN), Mi Notebook 14 Intel Core i5 10th Gen 8 GB DDR4 RAM/256 GB SSD/Windows 10 Home/14 inch Laptop (Silver, Mi Notebook 14 8+256 i5 27749), Microsoft Surface Pro Intel Core i5 7th Gen 4 GB RAM/ 128 GB SSD/ Windows 10 Home/ 12.3 inch Laptop (Silver,Surface LP FSU029 7Gi5 4GBN 128SSD), LG Gram 17 Intel Core i7 10th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/17 inch Laptop (Dark Silver, 17Z90N-V.AH75A2), Realme Book Slim Intel Core i5 11th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/14 inch Laptop (Real Blue, RMNB1002)",,
Honda Bike,"Honda Shine BS6 Drum (Black) 125 cc, Honda Shine BS6 Drum (Black) 125 cc, Honda Shine BS6 Disc (Black), Honda Shine BS6 Disc (Black), Honda Livo BS6 Drum (Athletic Blue Metallic), Honda Livo BS6 Drum (Athletic Blue Metallic), Honda Livo BS6 Drum (Black), Honda Livo BS6 Drum (Black), Honda Livo BS6 Drum (Mat Axis Grey Metallic), Honda Livo BS6 Drum (Mat Axis Grey Metallic)",,
I Phone 16,"iPhone 16 Plus 128 GB - Black, iPhone 16 Plus 128 GB - White, iPhone 16 Plus 128 GB - Pink, iPhone 16 Plus 128 GB - Ultramarine, iPhone 16 Plus 128 GB - Teal, iPhone 16 Plus 256 GB - Black, iPhone 16 Plus 256 GB - White, iPhone 16 Plus 256 GB - Pink, iPhone 16 Plus 256 GB - Ultramarine, iPhone 16 Plus 256 GB - Teal",,
Aquaguard Water Purifier,"Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Aquaguard No Storage Water Purifier White (Crystal Plus UV), Aquaguard 6.5 Liters Storage Water Purifier Black and White (Ag Superb UV+UF With Origa), Aquaguard 6.5 L Storage Water Purifier White (Superb UV+UF), Aquaguard Water Purifier White (Aquaguard Crystal NXT UV+HOT), Aquaguard Water Purifier White (Crystal NXT UV+HOT), Aquaguard 500 ml Storage Water Purifier White (GWPDCSTPH00000), Aquaguard Water Purifier White (Aquaguard Enhance NXT UV+HOT), Aquaguard Purifier White (Enhance NXT UV+HOT)",,
iphone 16,"iPhone 16 Plus 128 GB - Black, iPhone 16 Plus 128 GB - White, iPhone 16 Plus 128 GB - Pink, iPhone 16 Plus 128 GB - Ultramarine, iPhone 16 Plus 128 GB - Teal, iPhone 16 Plus 256 GB - Black, iPhone 16 Plus 256 GB - White, iPhone 16 Plus 256 GB - Pink, iPhone 16 Plus 256 GB - Ultramarine, iPhone 16 Plus 256 GB - Teal",,
Lg Ac,"LG 1 Ton 3 Star Inverter Split AC White (KS-Q12ENXA), LG 1 Ton 3 Star BEE Rating Inverter Split AC White (KS-Q12ENXA), LG 1 Ton 5 Star Inverter Split AC White (KS-Q12ENZA), LG 1.5 Ton 3 Star Inverter Split AC White (KS-Q18ENXA), LG 1.5 Ton 5 Star Inverter Split AC White (KS-Q18ENZA), LG 1 Ton 3 Star Inverter Split AC White (KS-Q12HNXD), LG 1 Ton 3 Star Inverter Split AC White and Grey (KS-Q12MWXD), LG 1.5 Ton 3 Star Inverter Split AC White and Gold (KS-Q18AWXD), LG 1.5 Ton 3 Star Inverter Split AC White (KS-Q18HNXD), LG 1.5 Ton 3 Star Inverter Split AC White (KS-Q18YNXA)",,
Bulet 350cc,"Royal Enfield Bullet 350 Standard (Bullet Silver), Royal Enfield Bullet 350 Standard (Onyx Black), Royal Enfield Bullet 350 (Military Black), Royal Enfield Bullet 350 (Military Red), Royal Enfield Bullet 350 (Black Gold), Royal Enfield Bullet 350 (Standard - Black), Royal Enfield Bullet 350 (Standard - Maroon), Royal Enfield Bullet 350 (Military SilverBlack), Royal Enfield Bullet 350 (Military SilverRed), Royal Enfield Bullet 350 (Military Silver)",,
bullet 350cc,"Royal Enfield Bullet 350 Standard (Bullet Silver), Royal Enfield Bullet 350 Standard (Onyx Black), Royal Enfield Bullet 350 (Military Black), Royal Enfield Bullet 350 (Military Red), Royal Enfield Bullet 350 (Black Gold), Royal Enfield Bullet 350 (Standard - Black), Royal Enfield Bullet 350 (Standard - Maroon), Royal Enfield Bullet 350 (Military SilverBlack), Royal Enfield Bullet 350 (Military SilverRed), Royal Enfield Bullet 350 (Military Silver)",,
Hero Electric Vida Scooter,"Hero Vida VX2 Plus (Nexus Blue), Hero Vida VX2 Plus (Nexus Blue), Hero Vida VX2 Plus (Metallic Grey), Hero Vida VX2 Plus (Metallic Grey), Hero Vida VX2 Plus (Matte White), Hero Vida VX2 Plus (Matte White), Hero Vida VX2 Plus (Autumn Orange), Hero Vida VX2 Plus (Autumn Orange), Hero Vida VX2 Plus (Matte Lime), Hero Vida VX2 Plus (Matte Lime)",,
Vivo Stock,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
Apple Iphone 13 Smartphones,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
HF Deluxe Black,"Hero Hf Deluxe Flex Fuel 2026 (Black With Lime Yellow), Hero Hf Deluxe I3S Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe I3S Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe I3S Drum Brake Self Start (Sports Red Black), Hero Hf Deluxe I3S Drum Brake Self Start (Sports Red Black), Hero Hf Deluxe I3S Drum Brake Self Start (Black Nexus Blue), Hero Hf Deluxe I3S Drum Brake Self Start (Black Nexus Blue), Hero Hf Deluxe Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe Drum Brake Self Start (Sports Red Black)",,
Kapat bed,"Dynasty Pillar King Size Bed Cot 6 + 6.5, Duroflex Admire Sheesham Wood with Storage Bed King Size (Honey), Hometown Swirl Engineered Wood Single bed with Box storage in Wenge Colour, Doctor Dreams by Nilkamal Striker Metal Bed Black (King), Sleepyhead Bed V Premium Sheesham Wood Queen Size Bed (Provencial Teak), Springtek Amaze Pure Solid Wood King Bed (Finish Color - Teak), Aaram By Zebrs Sheesham Wood Bed Side Table, Natural Living Jop Carving Wooden King Bed Without Storage (Teak), Godrej Adriana Single Size Bed (Walnut Finish), Royaloak Boston American Wooden Queen Bed With Storage",,
Apple Iphone 17 Smartphones,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
OnePlus 13r,"OnePlus 13R 5G 256 GB Storage Nebula Noir (12 GB RAM), OnePlus 13R 5G 256 GB Storage Astral Trail (12 GB RAM), OnePlus 13R 5G 512 GB Storage Nebula Noir (16 GB RAM), OnePlus 13R 5G 512 GB Storage Astral Trail (16 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Pitch Black (8 GB RAM)",,
V Guard Stablizer 5kg,"V-Guard 205 Ah Tubular Inverter Battery White (VT 220), Genus 12 V 825 VA Pure Sine Wave UPS White1100 CHALLENGER 12V, LUMINOUS 12 V 900 VA Pure Sine Wave Inverter WhiteICON 1100, Livguard LG2300 24 V inverter (Black), OKAYA 210 Ah Tubular Inverter Battery White (OPTT24048) , UTL Tubular 5500VA Black (TQ 3548), Advon Solar PCU ASP-4000 / 3800VA Capacity /48V DC Voltage/ 50 AMP PWM Solar Capacity, Amaze 220 Ah Tall Tubular Inverter Battrey White (5266TT), Livfast Pure Sine Wave Inverter LFM-HUPS-SW-FCS1725/24V-1U (Black), Moseta Ironman Solar Hybrid 1700 VA/150 Ah Inverter",,
Apple Iphone 15 Smartphones,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
v guard stabilizer 5kg,"V-Guard 205 Ah Tubular Inverter Battery White (VT 220), Genus 12 V 825 VA Pure Sine Wave UPS White1100 CHALLENGER 12V, LUMINOUS 12 V 900 VA Pure Sine Wave Inverter WhiteICON 1100, Livguard LG2300 24 V inverter (Black), OKAYA 210 Ah Tubular Inverter Battery White (OPTT24048) , UTL Tubular 5500VA Black (TQ 3548), Advon Solar PCU ASP-4000 / 3800VA Capacity /48V DC Voltage/ 50 AMP PWM Solar Capacity, Amaze 220 Ah Tall Tubular Inverter Battrey White (5266TT), Livfast Pure Sine Wave Inverter LFM-HUPS-SW-FCS1725/24V-1U (Black), Moseta Ironman Solar Hybrid 1700 VA/150 Ah Inverter",,
Iphone,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Poco Smartphones,"Poco C85x 5G 64 GB Storage Elite Black (4 GB RAM), Poco C85x 5G 64 GB Storage Emerald Green (4 GB RAM), Poco C85x 5G 64 GB Storage Sunset Gold (4 GB RAM), Poco C85x 5G 128 GB Storage Elite Black (4 GB RAM), Poco C85x 5G 128 GB Storage Emerald Green (4 GB RAM), Poco C85x 5G 128 GB Storage Sunset Gold (4 GB RAM), POCO M8 5G 128 GB Storage Carbon Black (6 GB RAM), POCO M8 5G 128 GB Storage Frost Silver (6 GB RAM), POCO M8 5G 128 GB Storage Glacial Blue (6 GB RAM), POCO M8 5G 128 GB Storage Carbon Black (8 GB RAM)",,
Tata Tiago CNG,"Tata Tiago XE CNG (Daytona Grey), Tata Tiago XE CNG (Arizona Blue), Tata Tiago XE CNG (Flame Red), Tata Tiago XE CNG (Opal White), Tata Tiago XE CNG (Midnight Plum), Tata Tiago XM CNG (Daytona Grey), Tata Tiago XM CNG (Arizona Blue), Tata Tiago XM CNG (Flame Red), Tata Tiago XM CNG (Opal White), Tata Tiago XM CNG (Midnight Plum)",,
Apple Iphone 15 Smartphones,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
Vivo Y31 Smartphones,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 128 GB Storage Ocean Blue (6 GB RAM), vivo Y31 128 GB Storage Racing Black (6 GB RAM), vivo Y31 Pro 5G 256 GB Storage Dreamy White (8 GB RAM), vivo Y31 Pro 5G 128 GB Storage Mocha Brown (8 GB RAM), vivo Y31 Pro 5G 128 GB Storage Mocha Brown (8 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (4 GB RAM)",,
